epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,46.2294,0.76427,0.67153,1.07323,0.48238,0.3375,0.35274,0.17212,2.60721,2.17024,2.61397,0.00146346,0.00146346,0.00146346
39,47.3751,0.75873,0.64994,1.08596,0.64663,0.3375,0.46605,0.19163,2.64659,2.11967,2.52928,0.00145796,0.00145796,0.00145796
40,48.5451,0.71693,0.63732,1.0329,0.55722,0.45,0.45166,0.19666,2.57569,1.9829,2.44569,0.00145246,0.00145246,0.00145246
41,49.722,0.72348,0.62993,1.03621,0.34492,0.5,0.37448,0.15716,2.38014,2.15549,2.33455,0.00144696,0.00144696,0.00144696
42,50.8743,0.79687,0.69248,1.08119,0.33767,0.50348,0.31031,0.11631,2.36178,2.48252,2.4038,0.00144145,0.00144145,0.00144145
43,52.1236,0.78252,0.66979,1.05088,0.3746,0.54511,0.31658,0.12617,2.3202,2.48816,2.33505,0.00143595,0.00143595,0.00143595
44,53.253,0.73626,0.63789,1.02479,0.44404,0.4375,0.42423,0.1623,2.49488,1.8931,2.51185,0.00143045,0.00143045,0.00143045
45,54.3561,0.73299,0.63283,1.04313,0.43722,0.4875,0.48559,0.16628,2.51055,1.88411,2.61417,0.00142495,0.00142495,0.00142495
46,55.5527,0.75957,0.64045,1.04555,0.60395,0.2625,0.3529,0.14629,2.59902,2.11562,2.77293,0.00141945,0.00141945,0.00141945
47,56.6798,0.75459,0.64451,1.05868,0.49857,0.2625,0.38885,0.1469,2.64949,2.05313,2.77979,0.00141395,0.00141395,0.00141395
48,57.787,0.69817,0.645,1.04178,0.3665,0.45,0.38982,0.15859,2.64384,1.96551,2.81011,0.00140845,0.00140845,0.00140845
49,58.9166,0.75151,0.61984,1.03769,0.41179,0.5125,0.4498,0.16701,2.62475,2.01771,2.7413,0.00140295,0.00140295,0.00140295
50,60.0758,0.66214,0.58604,1.03396,0.69791,0.28642,0.43138,0.15486,2.71098,2.01058,2.64403,0.00139745,0.00139745,0.00139745
51,61.1791,0.73707,0.62151,1.03762,0.92094,0.325,0.45666,0.16026,2.64622,1.98568,2.53296,0.00139195,0.00139195,0.00139195
52,62.4242,0.72577,0.61732,1.05254,0.90172,0.325,0.43235,0.21128,2.43842,1.99036,2.36415,0.00138644,0.00138644,0.00138644
53,63.7425,0.78946,0.67412,1.08873,0.81733,0.325,0.42219,0.2175,2.35892,1.96165,2.33806,0.00138094,0.00138094,0.00138094
54,64.9293,0.75185,0.63258,1.05824,0.75407,0.32381,0.4327,0.20979,2.47911,1.99034,2.50051,0.00137544,0.00137544,0.00137544
55,66.0332,0.76153,0.63485,1.06623,0.71671,0.32352,0.35694,0.18877,2.5041,1.99204,2.63142,0.00136994,0.00136994,0.00136994
56,67.1493,0.72188,0.58964,1.04046,0.30495,0.3875,0.31268,0.16814,2.63929,2.09513,2.78743,0.00136444,0.00136444,0.00136444
57,68.2471,0.69647,0.63323,1.03364,0.27564,0.3875,0.27865,0.14729,2.71356,1.94846,2.91168,0.00135894,0.00135894,0.00135894
58,69.4759,0.75199,0.62217,1.06306,0.32747,0.3875,0.29165,0.13673,2.67762,1.92371,2.76919,0.00135344,0.00135344,0.00135344
59,70.5668,0.73686,0.64278,1.0467,0.35048,0.3875,0.28388,0.13508,2.68368,2.13125,2.69711,0.00134794,0.00134794,0.00134794
60,71.7205,0.73374,0.62322,1.05448,0.44948,0.4,0.35355,0.16333,2.42394,2.42493,2.3084,0.00134244,0.00134244,0.00134244
61,72.8189,0.7242,0.63186,1.04688,0.5267,0.39359,0.3483,0.17411,2.36201,2.45209,2.2526,0.00133693,0.00133693,0.00133693
62,73.95,0.7273,0.61159,1.05249,0.3747,0.3375,0.30283,0.13978,2.39572,2.0647,2.30948,0.00133143,0.00133143,0.00133143
63,75.0725,0.74029,0.62291,1.06179,0.46284,0.275,0.30435,0.15455,2.31367,2.05101,2.28255,0.00132593,0.00132593,0.00132593
64,76.2078,0.75824,0.6376,1.08169,0.3328,0.4,0.34238,0.16052,2.35447,2.02918,2.29698,0.00132043,0.00132043,0.00132043
65,77.5512,0.7001,0.59332,1.04166,0.35992,0.45,0.39473,0.17475,2.26884,2.23355,2.28092,0.00131493,0.00131493,0.00131493
66,78.7425,0.76504,0.65186,1.06882,0.35045,0.41207,0.35964,0.15796,2.32968,2.53083,2.37143,0.00130943,0.00130943,0.00130943
67,79.8136,0.66981,0.54539,1.00755,0.3,0.39361,0.3688,0.15013,2.31853,2.49104,2.35106,0.00130393,0.00130393,0.00130393
68,80.9124,0.7463,0.64024,1.08258,0.49768,0.325,0.3409,0.13661,2.31961,2.44812,2.37585,0.00129843,0.00129843,0.00129843
69,81.9889,0.70225,0.58752,1.03781,0.49288,0.325,0.36697,0.15502,2.32612,2.34542,2.3824,0.00129293,0.00129293,0.00129293
70,83.0374,0.72259,0.61109,1.04236,0.51435,0.3195,0.33288,0.1531,2.31679,2.41584,2.37427,0.00128742,0.00128742,0.00128742
71,84.0829,0.77737,0.65163,1.06597,0.57812,0.325,0.28972,0.13891,2.37976,2.506,2.39466,0.00128192,0.00128192,0.00128192
72,85.1308,0.71211,0.63483,1.02111,0.8573,0.325,0.39642,0.18685,2.46403,2.23968,2.4216,0.00127642,0.00127642,0.00127642
73,86.1688,0.70741,0.63334,1.04345,0.86232,0.325,0.39216,0.19298,2.46952,2.20726,2.44285,0.00127092,0.00127092,0.00127092
74,87.2509,0.68298,0.58346,1.02272,0.77516,0.325,0.39845,0.16652,2.58427,2.123,2.5273,0.00126542,0.00126542,0.00126542
75,88.4473,0.68361,0.60731,1.03421,0.63082,0.325,0.38896,0.17362,2.56468,2.15913,2.56979,0.00125992,0.00125992,0.00125992
76,89.658,0.73706,0.61727,1.04534,0.7714,0.325,0.3803,0.15466,2.52346,2.12913,2.65659,0.00125442,0.00125442,0.00125442
77,90.7279,0.70263,0.60218,1.03294,0.47813,0.3875,0.29256,0.13854,2.58729,2.32538,2.71643,0.00124892,0.00124892,0.00124892
78,91.8083,0.7061,0.62343,1.05145,0.52195,0.32492,0.24044,0.1188,2.59093,2.40598,2.68141,0.00124342,0.00124342,0.00124342
79,92.8637,0.74373,0.6279,1.06475,0.62146,0.32328,0.25981,0.1275,2.59856,2.48028,2.67982,0.00123791,0.00123791,0.00123791
80,93.9339,0.72079,0.59434,1.03506,0.70577,0.325,0.3605,0.1321,2.48957,2.34358,2.57559,0.00123241,0.00123241,0.00123241
81,95.0308,0.73298,0.61396,1.04509,0.65372,0.325,0.33843,0.14333,2.4773,2.18423,2.57379,0.00122691,0.00122691,0.00122691
82,96.0892,0.716,0.60256,1.03418,0.40059,0.325,0.31523,0.16393,2.53117,2.27681,2.55648,0.00122141,0.00122141,0.00122141
83,97.154,0.71536,0.58663,1.02418,0.59289,0.30354,0.31752,0.16552,2.62458,2.21564,2.61284,0.00121591,0.00121591,0.00121591
84,98.2233,0.74124,0.60773,1.05639,0.5157,0.325,0.30099,0.14095,2.69205,1.95764,2.62035,0.00121041,0.00121041,0.00121041
85,99.3556,0.75916,0.62066,1.06468,0.54136,0.325,0.29121,0.12675,2.63652,1.88656,2.60561,0.00120491,0.00120491,0.00120491
86,100.487,0.70082,0.59943,1.03511,0.51864,0.325,0.35429,0.17298,2.67202,1.8531,2.64433,0.00119941,0.00119941,0.00119941
87,101.765,0.76648,0.656,1.10521,0.52237,0.325,0.3491,0.17581,2.69062,1.91722,2.63458,0.00119391,0.00119391,0.00119391
88,102.972,0.73213,0.6355,1.06896,0.4428,0.355,0.31356,0.15981,2.69852,1.94199,2.61944,0.0011884,0.0011884,0.0011884
89,104.156,0.72264,0.59567,1.04856,0.4566,0.36608,0.28217,0.14573,2.57957,1.87721,2.57364,0.0011829,0.0011829,0.0011829
90,105.354,0.7038,0.62765,1.05212,0.50996,0.4375,0.36953,0.16116,2.44541,1.98252,2.46389,0.0011774,0.0011774,0.0011774
91,106.506,0.6778,0.56507,1.01043,0.38,0.325,0.30076,0.17338,2.49158,2.18057,2.40668,0.0011719,0.0011719,0.0011719
92,107.703,0.73622,0.62174,1.06291,0.50001,0.2625,0.27763,0.14811,2.56957,2.08944,2.59868,0.0011664,0.0011664,0.0011664
93,108.829,0.65984,0.57792,1.00846,0.62014,0.325,0.38381,0.17672,2.5927,1.97494,2.62805,0.0011609,0.0011609,0.0011609
94,109.927,0.64955,0.53921,0.99263,0.51705,0.325,0.35255,0.17635,2.69119,1.74656,2.76846,0.0011554,0.0011554,0.0011554
95,111.076,0.68482,0.5819,1.02495,0.5337,0.325,0.33506,0.15123,2.69087,1.82627,2.79775,0.0011499,0.0011499,0.0011499
96,112.182,0.72387,0.60675,1.08062,0.64129,0.325,0.34107,0.15814,2.65387,1.96034,2.75103,0.0011444,0.0011444,0.0011444
97,113.254,0.698,0.58865,1.01163,0.62364,0.32329,0.39472,0.1815,2.56416,1.91706,2.67186,0.00113889,0.00113889,0.00113889
98,114.336,0.70179,0.58013,1.02147,0.57852,0.325,0.33935,0.16279,2.46813,1.94233,2.58693,0.00113339,0.00113339,0.00113339
99,115.52,0.70437,0.58288,1.04642,0.55048,0.325,0.33058,0.15816,2.43454,2.04238,2.60051,0.00112789,0.00112789,0.00112789
100,116.632,0.70815,0.60535,1.05869,0.53873,0.2625,0.28963,0.13833,2.64757,2.22111,2.79142,0.00112239,0.00112239,0.00112239
101,117.738,0.66708,0.56983,1.01634,0.53856,0.2625,0.26714,0.12683,2.77015,2.13636,2.89678,0.00111689,0.00111689,0.00111689
102,118.94,0.66493,0.55925,0.99896,0.29118,0.325,0.22049,0.12193,2.85701,1.72909,2.94912,0.00111139,0.00111139,0.00111139
103,120.082,0.6907,0.59125,1.04174,0.28911,0.325,0.19429,0.10931,2.70489,1.79375,2.81198,0.00110589,0.00110589,0.00110589
104,121.265,0.68689,0.57177,1.03568,0.37198,0.42837,0.28329,0.14457,2.679,1.86793,2.768,0.00110039,0.00110039,0.00110039
105,122.515,0.67697,0.56453,1.03007,0.3131,0.3875,0.26128,0.12778,2.67541,1.85823,2.78464,0.00109489,0.00109489,0.00109489
106,123.672,0.68273,0.57985,1.02699,0.59162,0.31963,0.38415,0.19925,2.62129,1.79361,2.62827,0.00108938,0.00108938,0.00108938
107,124.785,0.68937,0.56469,1.02024,0.62573,0.37897,0.3619,0.17088,2.53312,1.80218,2.48469,0.00108388,0.00108388,0.00108388
108,125.941,0.69568,0.59115,1.03282,0.57447,0.3875,0.38157,0.16745,2.49137,1.62865,2.46587,0.00107838,0.00107838,0.00107838
109,127.073,0.63464,0.52463,1.00476,0.51951,0.325,0.33618,0.1679,2.54115,1.73529,2.46994,0.00107288,0.00107288,0.00107288
110,128.354,0.63017,0.54643,0.98594,0.36244,0.3875,0.29966,0.15266,2.62228,1.9257,2.58163,0.00106738,0.00106738,0.00106738
111,129.506,0.69455,0.57937,1.06016,0.53684,0.32246,0.32299,0.15448,2.56083,1.81199,2.56017,0.00106188,0.00106188,0.00106188
112,130.77,0.65792,0.5536,1.00601,0.55757,0.3875,0.35464,0.13011,2.55996,1.75168,2.62265,0.00105638,0.00105638,0.00105638
113,132.113,0.6944,0.56815,1.04504,0.57941,0.43161,0.38276,0.14301,2.58141,1.84857,2.63789,0.00105088,0.00105088,0.00105088
114,133.264,0.6881,0.58157,1.02839,0.55273,0.5,0.44307,0.16361,2.65549,2.00537,2.70142,0.00104538,0.00104538,0.00104538
115,134.537,0.63953,0.53715,0.99716,0.42642,0.4375,0.39408,0.15944,2.70552,1.98013,2.70969,0.00103987,0.00103987,0.00103987
116,135.694,0.66167,0.56788,1.05354,0.55008,0.30897,0.36592,0.15363,2.67008,1.92655,2.67988,0.00103437,0.00103437,0.00103437
117,136.825,0.67331,0.56852,1.02752,0.54508,0.31889,0.3573,0.14757,2.60323,1.91593,2.61966,0.00102887,0.00102887,0.00102887
118,137.983,0.61988,0.52521,0.98357,0.37132,0.3662,0.35951,0.1442,2.49198,1.76501,2.4504,0.00102337,0.00102337,0.00102337
119,139.245,0.6985,0.55281,1.03003,0.33978,0.4375,0.30148,0.12793,2.53927,1.85513,2.50117,0.00101787,0.00101787,0.00101787
120,140.422,0.66933,0.52357,1.02462,0.56668,0.2125,0.28466,0.1332,2.61898,2.04983,2.57939,0.00101237,0.00101237,0.00101237
121,141.63,0.61933,0.53973,0.97988,0.51575,0.2125,0.29505,0.14225,2.69678,2.1448,2.64819,0.00100687,0.00100687,0.00100687
122,142.716,0.70941,0.58447,1.04405,0.48791,0.375,0.34999,0.14832,2.55811,2.25088,2.49467,0.00100137,0.00100137,0.00100137
123,143.807,0.63004,0.5503,1.00709,0.31208,0.41962,0.29236,0.12566,2.56829,2.22355,2.54549,0.000995866,0.000995866,0.000995866
124,144.877,0.63483,0.53018,1.0114,0.47474,0.2625,0.26294,0.12066,2.61553,2.30259,2.63643,0.000990365,0.000990365,0.000990365
125,145.982,0.61664,0.52253,0.98417,0.53921,0.2125,0.21325,0.10826,2.57075,2.31407,2.65385,0.000984864,0.000984864,0.000984864
126,147.058,0.73398,0.62939,1.06839,0.58616,0.2125,0.21701,0.1147,2.6806,2.24789,2.72029,0.000979362,0.000979362,0.000979362
127,148.164,0.58819,0.53351,0.98497,0.59683,0.2125,0.23464,0.12187,2.73083,2.21781,2.72432,0.000973861,0.000973861,0.000973861
128,149.215,0.64035,0.57449,1.01014,0.35254,0.49147,0.3219,0.1331,2.57716,1.95032,2.56061,0.00096836,0.00096836,0.00096836
129,150.239,0.63417,0.5581,1.01633,0.41585,0.325,0.33798,0.16103,2.5464,1.92898,2.52539,0.000962859,0.000962859,0.000962859
130,151.384,0.64331,0.57237,1.01783,0.34649,0.48006,0.32766,0.1602,2.70601,2.13054,2.6481,0.000957358,0.000957358,0.000957358
131,152.438,0.64388,0.53913,0.98692,0.33191,0.5125,0.32832,0.15485,2.73291,2.18058,2.6733,0.000951857,0.000951857,0.000951857
132,153.499,0.66351,0.54555,1.01295,0.37532,0.3375,0.23303,0.10575,2.61465,2.22847,2.56506,0.000946356,0.000946356,0.000946356
133,154.561,0.63675,0.5442,1.01504,0.43675,0.2875,0.30937,0.14209,2.59027,2.20829,2.59118,0.000940855,0.000940855,0.000940855
134,155.632,0.6105,0.53298,0.9929,0.2979,0.31588,0.30619,0.14414,2.73617,2.22704,2.70211,0.000935354,0.000935354,0.000935354
135,156.683,0.58348,0.51051,0.98133,0.36225,0.34651,0.26098,0.11439,2.85496,2.25724,2.84405,0.000929853,0.000929853,0.000929853
136,157.73,0.64145,0.5387,1.01502,0.41211,0.43842,0.28273,0.1321,2.83344,2.04934,2.82678,0.000924352,0.000924352,0.000924352
137,158.756,0.68927,0.55494,1.02693,0.38895,0.43333,0.32432,0.1381,2.73178,2.01612,2.80997,0.00091885,0.00091885,0.00091885
138,159.791,0.58411,0.5113,0.97258,0.32745,0.42507,0.32166,0.15068,2.62692,2.11138,2.78012,0.000913349,0.000913349,0.000913349
139,160.814,0.58781,0.51299,0.97607,0.53361,0.2125,0.31905,0.16261,2.6701,2.12192,2.82944,0.000907848,0.000907848,0.000907848
140,162.099,0.59631,0.51947,0.98924,0.35428,0.45,0.36779,0.17001,2.70746,2.24279,2.81512,0.000902347,0.000902347,0.000902347
141,163.158,0.5717,0.5132,0.97913,0.37869,0.48205,0.37186,0.16177,2.64173,2.32998,2.73743,0.000896846,0.000896846,0.000896846
142,164.218,0.61487,0.53835,0.99885,0.37163,0.45041,0.39938,0.17563,2.57141,2.2407,2.71056,0.000891345,0.000891345,0.000891345
143,165.281,0.64341,0.52263,1.02103,0.43011,0.4276,0.36654,0.16587,2.54708,2.17764,2.69418,0.000885844,0.000885844,0.000885844
144,166.36,0.58014,0.49253,0.97034,0.36864,0.4058,0.39984,0.17568,2.57275,2.21519,2.63451,0.000880343,0.000880343,0.000880343
145,167.642,0.58722,0.49164,0.96523,0.56822,0.2625,0.33203,0.16043,2.4848,2.25816,2.52249,0.000874842,0.000874842,0.000874842
146,168.902,0.57299,0.49249,0.97617,0.36515,0.47355,0.39698,0.19911,2.31202,2.11574,2.32573,0.00086934,0.00086934,0.00086934
147,170.051,0.62911,0.52141,0.9825,0.59168,0.325,0.39161,0.19541,2.23887,2.01965,2.31356,0.000863839,0.000863839,0.000863839
148,171.192,0.59516,0.50529,0.98703,0.55354,0.325,0.34555,0.15799,2.27473,2.09942,2.37563,0.000858338,0.000858338,0.000858338
149,172.297,0.56486,0.49639,0.97342,0.30075,0.3875,0.29757,0.1543,2.32598,2.13406,2.44241,0.000852837,0.000852837,0.000852837
150,173.386,0.64837,0.57865,1.03626,0.36007,0.4375,0.3386,0.14482,2.39848,2.23456,2.47403,0.000847336,0.000847336,0.000847336
151,174.566,0.60522,0.51103,1.00087,0.57895,0.3125,0.31965,0.13456,2.46383,2.229,2.51999,0.000841835,0.000841835,0.000841835
152,175.708,0.66635,0.57751,1.03866,0.48849,0.2625,0.27776,0.13554,2.55954,2.19398,2.63622,0.000836334,0.000836334,0.000836334
153,176.833,0.57524,0.51223,0.9883,0.48561,0.2625,0.34765,0.15503,2.49954,2.1797,2.58587,0.000830833,0.000830833,0.000830833
