epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.20581,0.73699,0.68873,1.05303,0.12476,0.175,0.11919,0.0501,2.27386,3.0879,2.45069,8.335e-05,8.335e-05,8.335e-05
2,5.79095,0.69093,0.65793,1.03118,0.26949,0.2875,0.25717,0.09164,2.19433,2.87401,2.32029,0.000182765,0.000182765,0.000182765
3,6.92785,0.71413,0.68128,1.04984,0.35387,0.3375,0.32642,0.14347,2.31569,2.41083,2.30906,0.00028152,0.00028152,0.00028152
4,8.02084,0.74166,0.69049,1.0771,0.61167,0.37427,0.413,0.16019,2.33065,2.29421,2.35277,0.000379614,0.000379614,0.000379614
5,9.09321,0.74316,0.69266,1.06599,0.70551,0.38208,0.42919,0.15535,2.46168,2.28742,2.43419,0.000477049,0.000477049,0.000477049
6,10.2054,0.75681,0.68585,1.05384,0.78369,0.3396,0.46805,0.18683,2.50213,1.98565,2.37465,0.000573823,0.000573823,0.000573823
7,11.4512,0.77891,0.68696,1.07581,0.7891,0.325,0.40202,0.16074,2.50487,1.94252,2.35328,0.000669937,0.000669937,0.000669937
8,12.5278,0.78015,0.70183,1.05243,0.40256,0.33422,0.29549,0.13869,2.41032,2.32922,2.39275,0.000765391,0.000765391,0.000765391
9,13.5917,0.7669,0.71756,1.05802,0.82436,0.325,0.40097,0.16824,2.32922,2.00696,2.21652,0.000860185,0.000860185,0.000860185
10,14.6915,0.79029,0.72063,1.085,0.44528,0.3875,0.36264,0.15279,2.37465,2.14018,2.28216,0.000954319,0.000954319,0.000954319
11,15.7599,0.81069,0.74551,1.10127,0.42064,0.447,0.33062,0.14043,2.30373,2.3889,2.39234,0.00104779,0.00104779,0.00104779
12,16.8973,0.76453,0.66675,1.05098,0.34528,0.4375,0.38119,0.17944,2.46261,2.0528,2.42264,0.00114061,0.00114061,0.00114061
13,17.9865,0.78385,0.71596,1.08553,0.29786,0.46658,0.31042,0.13308,2.51765,1.85819,2.39919,0.00123276,0.00123276,0.00123276
14,19.0616,0.81107,0.69338,1.11167,0.40683,0.32375,0.32068,0.13553,2.508,2.13333,2.50229,0.00132425,0.00132425,0.00132425
15,20.1282,0.75757,0.67723,1.07523,0.41518,0.325,0.32341,0.1483,2.55495,2.19182,2.62534,0.00141509,0.00141509,0.00141509
16,21.1896,0.86673,0.72891,1.10885,0.61442,0.2625,0.37115,0.17288,2.57382,2.03127,2.56076,0.00150526,0.00150526,0.00150526
17,22.3039,0.80849,0.70899,1.08761,0.35596,0.43254,0.39882,0.15171,2.51857,1.81144,2.47741,0.00157898,0.00157898,0.00157898
18,23.3867,0.82218,0.69872,1.10703,0.31334,0.40957,0.33913,0.14164,2.53196,1.95962,2.51082,0.00157348,0.00157348,0.00157348
19,24.4705,0.7914,0.69523,1.08156,0.50257,0.3702,0.32158,0.13962,2.54103,2.12149,2.64575,0.00156798,0.00156798,0.00156798
20,25.7435,0.89727,0.74931,1.14083,0.39896,0.45,0.36786,0.19015,2.50574,2.05243,2.61574,0.00156248,0.00156248,0.00156248
21,26.794,0.74717,0.66516,1.07129,0.47837,0.45,0.38257,0.16401,2.44929,1.95041,2.50134,0.00155698,0.00155698,0.00155698
22,28.0134,0.81482,0.71812,1.1031,0.43805,0.45,0.39726,0.16836,2.32046,2.25095,2.35635,0.00155148,0.00155148,0.00155148
23,29.1111,0.84214,0.72483,1.09834,0.42793,0.4,0.37974,0.16558,2.36681,2.44145,2.3749,0.00154598,0.00154598,0.00154598
24,30.2993,0.828,0.70012,1.10731,0.25208,0.275,0.20565,0.10932,2.48759,2.32874,2.49804,0.00154047,0.00154047,0.00154047
25,31.3593,0.78768,0.69375,1.07441,0.2,0.3375,0.21056,0.0909,2.55793,2.30407,2.46721,0.00153497,0.00153497,0.00153497
26,32.5986,0.75555,0.6767,1.04151,0.47757,0.225,0.22958,0.0989,2.49095,2.7799,2.42329,0.00152947,0.00152947,0.00152947
27,33.677,0.81328,0.72911,1.10548,0.65204,0.225,0.30655,0.14051,2.41572,2.80363,2.32639,0.00152397,0.00152397,0.00152397
28,34.8348,0.71265,0.64459,1.02793,0.4925,0.2125,0.25016,0.11651,2.44793,2.61909,2.42549,0.00151847,0.00151847,0.00151847
29,35.8921,0.77517,0.64489,1.07544,0.42076,0.3125,0.28934,0.14104,2.4699,2.39611,2.40578,0.00151297,0.00151297,0.00151297
30,36.958,0.82746,0.68627,1.12837,0.51973,0.36831,0.287,0.15674,2.63437,2.18176,2.50774,0.00150747,0.00150747,0.00150747
31,38.0525,0.7656,0.67703,1.07885,0.37918,0.40943,0.31114,0.15596,2.72624,2.2437,2.57103,0.00150197,0.00150197,0.00150197
32,39.2408,0.77935,0.69154,1.08643,0.37261,0.3875,0.34808,0.14501,2.58636,2.34451,2.38044,0.00149647,0.00149647,0.00149647
33,40.5194,0.80572,0.72734,1.09999,0.44071,0.4375,0.33455,0.14167,2.52645,2.29935,2.31753,0.00149096,0.00149096,0.00149096
34,41.6201,0.77893,0.68843,1.07898,0.44952,0.3875,0.26786,0.0837,2.92007,2.29104,2.75483,0.00148546,0.00148546,0.00148546
35,42.6903,0.8134,0.70821,1.09857,0.32129,0.325,0.20409,0.08282,3.02137,2.20642,2.91697,0.00147996,0.00147996,0.00147996
36,43.8773,0.77496,0.6841,1.07256,0.62854,0.325,0.32082,0.11913,2.67626,2.2701,2.70266,0.00147446,0.00147446,0.00147446
37,45.0642,0.79084,0.69693,1.09365,0.59811,0.325,0.3287,0.12558,2.64119,2.37422,2.73661,0.00146896,0.00146896,0.00146896
