epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,48.9531,0.95323,0.82991,1.16259,0.88224,0.275,0.38432,0.15695,2.37929,2.16263,2.34705,0.000990365,0.000990365,0.000990365
43,50.1052,0.92065,0.81055,1.12958,0.92096,0.275,0.38312,0.17889,2.27019,2.08392,2.26971,0.000973861,0.000973861,0.000973861
44,51.2144,0.87544,0.74717,1.09178,0.9355,0.275,0.42307,0.16971,2.31471,2.04345,2.3352,0.000957358,0.000957358,0.000957358
45,52.2523,0.8753,0.77664,1.12808,0.5915,0.3875,0.41042,0.1682,2.34855,1.96003,2.35254,0.000940855,0.000940855,0.000940855
46,53.3244,0.89082,0.7595,1.12313,0.75488,0.3585,0.48243,0.17456,2.42865,2.01596,2.43164,0.000924352,0.000924352,0.000924352
47,54.3595,0.87819,0.76376,1.12665,0.85911,0.36379,0.52613,0.20661,2.45416,1.91017,2.41511,0.000907848,0.000907848,0.000907848
48,55.4981,0.84831,0.77088,1.12657,0.94026,0.325,0.48859,0.2213,2.40721,1.8198,2.42121,0.000891345,0.000891345,0.000891345
49,56.5829,0.88024,0.74937,1.10851,0.91826,0.325,0.51836,0.21384,2.41135,1.83391,2.49119,0.000874842,0.000874842,0.000874842
50,57.6557,0.79016,0.7317,1.10604,0.95387,0.325,0.45925,0.18343,2.40113,1.98142,2.55968,0.000858338,0.000858338,0.000858338
51,58.7148,0.87469,0.74854,1.1128,0.96025,0.325,0.46966,0.17871,2.47703,1.92357,2.59286,0.000841835,0.000841835,0.000841835
52,59.7549,0.84488,0.75153,1.11739,0.80067,0.325,0.4116,0.18698,2.5098,1.68858,2.49856,0.000825332,0.000825332,0.000825332
53,60.7946,0.90646,0.77577,1.15823,0.77939,0.325,0.45695,0.20109,2.50958,1.69925,2.4646,0.000808828,0.000808828,0.000808828
54,61.9616,0.86121,0.75773,1.11608,0.69549,0.325,0.44583,0.22214,2.32171,1.7889,2.25267,0.000792325,0.000792325,0.000792325
55,63.0103,0.88116,0.76046,1.12521,0.68804,0.325,0.40698,0.18463,2.34741,1.78436,2.27269,0.000775822,0.000775822,0.000775822
56,64.0688,0.79851,0.69068,1.08578,0.72772,0.325,0.38993,0.17292,2.41304,1.77551,2.44396,0.000759318,0.000759318,0.000759318
57,65.1156,0.78062,0.75321,1.08827,0.67561,0.325,0.3948,0.17012,2.42037,1.79252,2.50971,0.000742815,0.000742815,0.000742815
58,66.1771,0.85157,0.74757,1.12136,0.63719,0.325,0.3743,0.1727,2.47742,1.81373,2.57664,0.000726312,0.000726312,0.000726312
59,67.2269,0.81086,0.73643,1.10155,0.62228,0.325,0.35391,0.15968,2.56958,1.82591,2.60336,0.000709809,0.000709809,0.000709809
60,68.2902,0.82278,0.73014,1.10185,0.70865,0.32142,0.41049,0.17657,2.511,1.93117,2.50289,0.000693305,0.000693305,0.000693305
61,69.3182,0.83802,0.73114,1.11725,0.44002,0.45,0.43763,0.20262,2.47057,1.99924,2.49087,0.000676802,0.000676802,0.000676802
62,70.5351,0.80795,0.70256,1.10153,0.51347,0.45,0.46391,0.20316,2.38292,2.00847,2.41688,0.000660299,0.000660299,0.000660299
63,71.5757,0.814,0.71081,1.09701,0.53323,0.50158,0.49166,0.21637,2.4181,1.95644,2.45,0.000643795,0.000643795,0.000643795
64,72.6439,0.83803,0.73857,1.11845,0.52851,0.45,0.49654,0.21689,2.45566,1.80473,2.46786,0.000627292,0.000627292,0.000627292
65,73.7917,0.75621,0.68476,1.07515,0.52748,0.44395,0.47401,0.20639,2.44622,1.85999,2.47475,0.000610789,0.000610789,0.000610789
66,74.8489,0.84089,0.75101,1.12116,0.52388,0.3875,0.44444,0.16987,2.47126,1.98996,2.46197,0.000594286,0.000594286,0.000594286
67,75.9124,0.7317,0.63217,1.03773,0.33211,0.325,0.31532,0.15728,2.49387,2.00627,2.46538,0.000577782,0.000577782,0.000577782
68,76.9622,0.81606,0.71944,1.13607,0.29802,0.325,0.34038,0.16737,2.55218,1.83633,2.4839,0.000561279,0.000561279,0.000561279
69,77.9839,0.74605,0.66009,1.06252,0.45036,0.2625,0.33829,0.16242,2.53559,1.77958,2.47715,0.000544776,0.000544776,0.000544776
70,79.05,0.78102,0.69494,1.08201,0.45118,0.2625,0.32272,0.16638,2.49284,1.76378,2.45579,0.000528272,0.000528272,0.000528272
71,80.1011,0.83309,0.71285,1.09985,0.68082,0.325,0.44306,0.18201,2.39291,1.86931,2.38843,0.000511769,0.000511769,0.000511769
72,81.1497,0.75067,0.68109,1.05207,0.55467,0.325,0.39739,0.18985,2.27342,2.05489,2.35213,0.000495266,0.000495266,0.000495266
73,82.1883,0.80113,0.7076,1.10389,0.5465,0.325,0.40172,0.19146,2.26505,2.16129,2.40203,0.000478762,0.000478762,0.000478762
74,83.2659,0.7662,0.6551,1.05559,0.75595,0.32357,0.42349,0.20218,2.39262,2.06028,2.4213,0.000462259,0.000462259,0.000462259
75,84.3095,0.75093,0.68292,1.08324,0.73698,0.325,0.42352,0.2016,2.38742,2.05417,2.397,0.000445756,0.000445756,0.000445756
76,85.4588,0.77485,0.70288,1.07577,0.67438,0.325,0.42256,0.19098,2.39437,2.04091,2.3756,0.000429253,0.000429253,0.000429253
77,86.6204,0.72911,0.6826,1.05328,0.93146,0.275,0.42012,0.19554,2.31923,2.13441,2.32414,0.000412749,0.000412749,0.000412749
78,87.6934,0.75839,0.72884,1.08855,0.9299,0.275,0.42181,0.18985,2.31815,2.25488,2.37441,0.000396246,0.000396246,0.000396246
79,88.738,0.78413,0.70289,1.08641,0.50215,0.44696,0.44019,0.19529,2.31705,2.24969,2.40185,0.000379743,0.000379743,0.000379743
80,89.832,0.76247,0.67095,1.05684,0.47341,0.45,0.46983,0.2014,2.41069,1.97587,2.48655,0.000363239,0.000363239,0.000363239
81,90.921,0.78546,0.67431,1.0756,0.45446,0.45,0.47471,0.19805,2.48741,1.86291,2.54877,0.000346736,0.000346736,0.000346736
82,91.9986,0.73286,0.65976,1.05036,0.45939,0.54944,0.48468,0.22064,2.50957,1.82665,2.53318,0.000330233,0.000330233,0.000330233
83,93.0381,0.76418,0.6504,1.06049,0.77958,0.325,0.47281,0.20079,2.52096,1.83355,2.51128,0.000313729,0.000313729,0.000313729
84,94.11,0.76745,0.6767,1.08307,0.39821,0.51956,0.52417,0.23228,2.45542,1.84321,2.49867,0.000297226,0.000297226,0.000297226
85,95.1756,0.78694,0.70037,1.08542,0.40873,0.5125,0.49608,0.20461,2.42706,1.87481,2.44686,0.000280723,0.000280723,0.000280723
86,96.2388,0.73263,0.64613,1.04733,0.44709,0.5125,0.503,0.21951,2.42793,1.82911,2.42315,0.00026422,0.00026422,0.00026422
87,97.2865,0.78755,0.72261,1.125,0.46533,0.5125,0.50103,0.22126,2.42525,1.82867,2.41198,0.000247716,0.000247716,0.000247716
88,98.3817,0.73211,0.6889,1.08204,0.53119,0.45,0.50706,0.20468,2.44475,1.8383,2.42888,0.000231213,0.000231213,0.000231213
89,99.6025,0.75697,0.66641,1.07114,0.51494,0.45,0.50509,0.20963,2.46377,1.8313,2.44405,0.00021471,0.00021471,0.00021471
90,100.724,0.74837,0.67854,1.08127,0.54118,0.45,0.51415,0.19716,2.45027,1.82215,2.4257,0.000198206,0.000198206,0.000198206
91,106.645,0.61284,0.62565,1.00868,0.55652,0.45,0.48199,0.19528,2.46781,1.76764,2.42661,0.000181703,0.000181703,0.000181703
92,107.704,0.59212,0.6113,0.99473,0.56743,0.45,0.47724,0.19387,2.50486,1.81778,2.449,0.0001652,0.0001652,0.0001652
93,108.732,0.6255,0.61398,0.97497,0.44964,0.44212,0.36107,0.18157,2.4989,1.83136,2.44283,0.000148696,0.000148696,0.000148696
94,109.803,0.60961,0.58564,0.96034,0.45126,0.44153,0.39094,0.19954,2.50794,1.82372,2.46286,0.000132193,0.000132193,0.000132193
95,110.834,0.60244,0.59866,0.98796,0.44138,0.44842,0.39011,0.20427,2.52224,1.79689,2.47749,0.00011569,0.00011569,0.00011569
96,111.901,0.57618,0.57828,0.95903,0.50722,0.5125,0.49489,0.20888,2.50763,1.76957,2.47604,9.91865e-05,9.91865e-05,9.91865e-05
97,112.951,0.57957,0.56827,0.98286,0.50556,0.5125,0.49083,0.20773,2.51481,1.72271,2.48709,8.26832e-05,8.26832e-05,8.26832e-05
98,114.076,0.59628,0.55849,0.97481,0.49236,0.5125,0.48933,0.22245,2.50409,1.73558,2.45864,6.61799e-05,6.61799e-05,6.61799e-05
99,115.107,0.60249,0.5674,1.01432,0.49351,0.5125,0.48744,0.22185,2.50358,1.7411,2.4576,4.96766e-05,4.96766e-05,4.96766e-05
100,116.296,0.54466,0.52989,0.94325,0.49203,0.5125,0.47798,0.21909,2.47813,1.7342,2.43486,3.31733e-05,3.31733e-05,3.31733e-05
